text,action,device
ok I love this headline so much. for me,NONE,NONE
yo its hot like please,DECREASE,AC
please like power on the fan now There was a fire last night.,ENABLE,FAN
Youll move more than before. yo stop audio for me,DISABLE,MUSIC
Today is the first day he made it to work on time in a while. um ok turn down my room light,DECREASE,LIGHTS
could you decrease my ceiling fan now This could become a problem.,DECREASE,FAN
bro raise all like the air fan now,INCREASE,FAN
ok turn up um air conditioning He wanted to wear lipstick but the lipstick was expired.,INCREASE,AC
alright disable my um playlist now,DISABLE,MUSIC
would you how do uh i sing thanks,NONE,NONE
Judith Jarvis Thompson is the best philosopher of all time. please boost all the smart tv,INCREASE,TV
like ok down all the lighting right now,DECREASE,LIGHTS
alright like up the speaker thanks,INCREASE,MUSIC
alright Hes got some brain condition that makes him think hes a flamingo. now,NONE,NONE
can you This could become a problem. right now,NONE,NONE
bro No woman would buy that. thanks,NONE,NONE
alright She stayed at a hostel in Poland which cost $13 a night and served free breakfast. right now,NONE,NONE
Trees are small when they are first planted. can you turn on the like audio for me,ENABLE,MUSIC
can you You can order it spicy or classic. please,NONE,NONE
could you She froze at the sight of the big spider. right now,NONE,NONE
"alright There were four people playing the game: her, her boyfriend, her boyfriends roommate, Steve, and Steves girlfriend, Cara. please",NONE,NONE
ok decrease all the air conditioner,DECREASE,AC
We would move to a nicer house if we had more money. would you power off room light now,DISABLE,LIGHTS
would you The cafe is empty aside from an old man reading a book about Aristotle. for me,NONE,NONE
ok activate the spotify for me,ENABLE,MUSIC
can you This is my big break.,NONE,NONE
bro turn like down speaker thanks,DECREASE,MUSIC
could you can you sing right now,NONE,NONE
alright how do um i eat,NONE,NONE
alright disable screen,DISABLE,TV
could you shut down aircon for me,DISABLE,AC
could you Theres nobody out there. for me,NONE,NONE
ok Wheres the nearest store? thanks,NONE,NONE
He was dressed for work. um bro lower the television,DECREASE,TV
Those apples are very red. ok power down the tv please,DISABLE,TV
Blood is thicker than water. can you off all the air conditioning,DISABLE,AC
hey start my music thanks The other baristas are so weird.,ENABLE,MUSIC
He was married to a friend of mine. switch on the audio right now,ENABLE,MUSIC
"She didnt drink, but she didnt want people to realize that, so she ordered a ginger ale at the bar. bro boost screen right now",INCREASE,TV
please I am a genius. for me,NONE,NONE
ok She liked him until he said he was a Marxist.,NONE,NONE
would you A balanced diet is a cookie in each hand. thanks,NONE,NONE
She liked him until he said he was a Marxist. bro on like the ventilator right now,ENABLE,FAN
"If you dont shut up, I will turn this car around. could you turn on my hvac like thanks",ENABLE,AC
bro power up the sound system please,ENABLE,MUSIC
alright turn um up all the ceiling fan please,INCREASE,FAN
i dont like this can you uh switch on tv now,ENABLE,TV
could you Weve got much bigger problems to deal with right now. for me,NONE,NONE
You can never turn the clock back. yo disable my speaker now,DISABLE,MUSIC
um please boost my smart tv please,INCREASE,TV
Youll move more than before. alright activate bedside lamp please,ENABLE,LIGHTS
yo i want to open the door now,NONE,NONE
could you off the aircon I am about as tall as my father now.,DISABLE,AC
could you power up the ventilator now You can make ice cream.,ENABLE,FAN
ok turn down all the aircon now,DECREASE,AC
please She started drinking again because she felt so awkward at social gatherings.,NONE,NONE
yo Workers will still have to work in order to live and pay their landlords for shelter.,NONE,NONE
can you He invited me to dinner yesterday. now,NONE,NONE
I want many things for myself. for me,NONE,NONE
bro switch off light please,DISABLE,LIGHTS
i am tired could you make higher my television right um now,INCREASE,TV
bro down my ceiling light now,DECREASE,LIGHTS
ok decrease ceiling fan now,DECREASE,FAN
can you I prefer ice cream over cake. for me,NONE,NONE
ok turn off the sound system thanks,DISABLE,MUSIC
could you The children are at home. for me,NONE,NONE
ok power on the fan now,ENABLE,FAN
would you I am a genius.,NONE,NONE
"On the other hand, I feel like I just have to do it for my sanity. thanks",NONE,NONE
alright reduce the bedside lamp right now He has made a big improvement in tennis.,DECREASE,LIGHTS
I am a genius. alright power on um the screen now,ENABLE,TV
can you turn down um fan,DECREASE,FAN
yo That is fake news. please,NONE,NONE
Shape up or ship out! yo turn up the tv right now,INCREASE,TV
bro do um you know how to sleep for me,NONE,NONE
"When you sit down for a long time, it hurts. ok shut down the like room light",DISABLE,LIGHTS
Who wrote Treasure Island? hey make higher my light right now,INCREASE,LIGHTS
ok boost the playlist for me I can see you.,INCREASE,MUSIC
could you Time is money. thanks,NONE,NONE
yo raise all um the smart tv right now The volume was up too high on the television.,INCREASE,TV
ok She had a hard time guessing what women were nannies and which ones were mothers themselves. now,NONE,NONE
hey The volume was up too high on the television. right now,NONE,NONE
Old habits die hard. alright increase the ventilator please,INCREASE,FAN
please shut down fan right now,DISABLE,FAN
yo off air fan please There was a fire last night.,DISABLE,FAN
can you One cannot live on bread alone. please,NONE,NONE
The broken leg isnt Toms biggest problem. bro turn up the music please,INCREASE,MUSIC
"yo raise my light She liked Dune, but it didnt pass the Bechdel Test.",INCREASE,LIGHTS
hey That was last week. now,NONE,NONE
They painted the coffee shop ceiling black. hey switch on my screen right now,ENABLE,TV
ok The baby was so cute but she was crying so loud I had to plug my ears. now,NONE,NONE
would you The delayed train has been an unexpected event today. thanks,NONE,NONE
Youll move more than before. alright up like my air conditioning,INCREASE,AC
please disable my sound system now,DISABLE,MUSIC
ok This could become a problem. now,NONE,NONE
alright start lights,ENABLE,LIGHTS
ok My big sister washes her hair every morning. right now,NONE,NONE
"can you um make higher lighting thanks That house is small, but its big enough for us.",INCREASE,LIGHTS
I am about as tall as my father now. would you up all the spotify for me,INCREASE,MUSIC
ok Nikita is a perfectly respectable businessman. please,NONE,NONE
hey His mom was so upset that he knew he couldnt tell her the truth. thanks,NONE,NONE
like yo how do i set an alarm right now,NONE,NONE
alright I have a brochure for our vacation. right now,NONE,NONE
I go back to bedroom. could you its um hot thanks,INCREASE,AC
bro power up light for me,ENABLE,LIGHTS
like ok down music please,DECREASE,MUSIC
She stayed at a hostel in Poland which cost $13 a night and served free breakfast. alright turn on the music right now,ENABLE,MUSIC
"hey turn off all the lights for me In Hong Kong, everyone lives stacked together.",DISABLE,LIGHTS
"When she saw Walmart had rotisserie chickens, she thought, this is a miracle. could you raise all the screen please",INCREASE,TV
can you turn off my hvac now Im going to make you a list of what needs to be done.,DISABLE,AC
ok stop like light now I am afraid of dark afternoons.,DISABLE,LIGHTS
could you power on air um conditioning for me,ENABLE,AC
hey can you set an alarm please,NONE,NONE
yo like turn down the sound system This problem is much bigger than we thought.,DECREASE,MUSIC
What do you like to do with other people? hey lower all the music thanks,DECREASE,MUSIC
hey Can you come over now? right now,NONE,NONE
yo increase room light for me,INCREASE,LIGHTS
I cant swim after I drink milk. like ok turn up ac right now,INCREASE,AC
um could you make lower the room light please,DECREASE,LIGHTS
um could you off my lamp right now,DISABLE,LIGHTS
hey shut down my like lights now The jar of candles was ready on the table.,DISABLE,LIGHTS
ok shut down fan I entered Toms name on the list of candidates.,DISABLE,FAN
The sooner I get to bed the better. alright decrease uh the bedside lamp right now,DECREASE,LIGHTS
turn up all the playlist for me,INCREASE,MUSIC
would you power down the bulb Give me the big knife to cut the bread.,DISABLE,LIGHTS
ok power on my ceiling light thanks Everything will be okay in the end.,ENABLE,LIGHTS
please turn down my lighting uh right now Tom stepped off the bus with a smile on his face.,DECREASE,LIGHTS
could you increase my lighting please He needed thirteen stitches.,INCREASE,LIGHTS
"In Guam, she laid in the sun and ate mangoes all day. please",NONE,NONE
bro activate all the room light please,ENABLE,LIGHTS
can you That was last week. thanks,NONE,NONE
do you know how to jump for me,NONE,NONE
uh bro power up all the television thanks,ENABLE,TV
can you turn up ac right now,INCREASE,AC
would you power off my bulb please Are you going to have a blue birthday cake for your next birthday?,DISABLE,LIGHTS
hey enable all the ventilator right now They made crispy chicken.,ENABLE,FAN
ok power up my ceiling fan thanks,ENABLE,FAN
like yo up my aircon right now,INCREASE,AC
please turn down the um fan,DECREASE,FAN
can you I go back to bedroom. for me,NONE,NONE
ok turn down cooler,DECREASE,AC
could you Old habits die hard. now,NONE,NONE
She studied music in college. can you power off like all the room light please,DISABLE,LIGHTS
You can make ice cream. could you off my screen please,DISABLE,TV
We have a juice bar.,NONE,NONE
would you stop all the tv now,DISABLE,TV
The volume was up too high on the television. can you i am hot for like me,DECREASE,AC
tell me something interesting ok start like tv,ENABLE,TV
Tulips grow every year. can like you on all the ventilator please,ENABLE,FAN
I cant swim after I drink milk. hey down the ac thanks,DECREASE,AC
Give me the big knife to cut the bread. yo turn up all the fan please,INCREASE,FAN
tell me a score now,NONE,NONE
bro increase the um playlist thanks,INCREASE,MUSIC
bro The plant was dying a sad little death. for me,NONE,NONE
The broken leg isnt Toms biggest problem. ok um power on cooler,ENABLE,AC
would you what is the news please,NONE,NONE
"would you He had a sore throat, so I gave him my bottle of water. for me",NONE,NONE
The girl picked the pink flower out of her garden. please turn down all the ceiling fan now,DECREASE,FAN
"yo off all the ac right now In Hong Kong, everyone lives stacked together.",DISABLE,AC
alright Shape up or ship out! please,NONE,NONE
alright How big you are! please,NONE,NONE
reduce room light right like now Here is David with his guitar.,DECREASE,LIGHTS
yo Hes not the sharpest knife in the drawer. thanks,NONE,NONE
uh can you switch on my bulb now,ENABLE,LIGHTS
"could you When the cats away, the mice play.",NONE,NONE
bro He invited me to dinner yesterday. thanks,NONE,NONE
"She hated chocolate chip cookies, but she loved gingersnaps. ok power like up my bedside lamp for me",ENABLE,LIGHTS
alright The car crash was so instantaneous that I barely had time to process it. thanks,NONE,NONE
yo turn down my air fan right now I hate cats even more than I hate dogs.,DECREASE,FAN
can you on all the television right now,ENABLE,TV
I really need to lose some weight. can you down like fan now,DECREASE,FAN
hey She really wanted to go out to a diner and eat some greasy toast and eggs for breakfast. for me,NONE,NONE
alright increase the lighting right now There was a big fire in my neighborhood.,INCREASE,LIGHTS
could you up my bulb right now,INCREASE,LIGHTS
"hey lower uh all the fan thanks When I went to the cabin up north, I had to bring a lot of board games to entertain myself.",DECREASE,FAN
A big fire broke out after the earthquake. please turn down all the fan like now,DECREASE,FAN
could you boost my ceiling light thanks I spread the map on the table.,INCREASE,LIGHTS
would you I have a brochure for our vacation.,NONE,NONE
he has skipped school on many occasions. would you turn down my music for me,DECREASE,MUSIC
um please on lights for me,ENABLE,LIGHTS
alright The new movie was not as good as I thought it would be. thanks,NONE,NONE
ok Being fashionable is easy.,NONE,NONE
can you lower my bedside lamp Apple picking is not in season.,DECREASE,LIGHTS
please The giraffe licked the tree and spat at the gorilla. please,NONE,NONE
yo You guys can leave whenever you want. right now,NONE,NONE
power on the uh ac,ENABLE,AC
hey like make it colder thanks I had to put a pin in his femur.,DECREASE,AC
would you its too bright please,DECREASE,LIGHTS
"When she saw Walmart had rotisserie chickens, she thought, this is a miracle. alright turn down the air conditioner right now",DECREASE,AC
alright Old habits die hard.,NONE,NONE
"can you turn down music now She ate a sandwich for lunch which contained turkey, cheddar cheese, and slices of strawberries.",DECREASE,MUSIC
please power on my television please,ENABLE,TV
bro I am completely drunk. right now,NONE,NONE
ok Hes got some brain condition that makes him think hes a flamingo. please,NONE,NONE
yo raise bedside lamp right now,INCREASE,LIGHTS
how are you now,NONE,NONE
ok I am about as tall as my father now. thanks,NONE,NONE
A red tie will match that suit. uh hey power on all the spotify for me,ENABLE,MUSIC
I go back to bedroom. hey shut down my um cooler for me,DISABLE,AC
"hey She bought the green eyeshadow spontaneously, then regretted the purchase. for me",NONE,NONE
like bro activate my playlist now,ENABLE,MUSIC
would you what is the news for me,NONE,NONE
could you raise my smart tv right now,INCREASE,TV
hey Did you hear about the new animal discovered in Ecuador? thanks,NONE,NONE
hey This could become a problem. now,NONE,NONE
Ill see to it. could you like decrease bulb right now,DECREASE,LIGHTS
yo His mom was so upset that he knew he couldnt tell her the truth. please,NONE,NONE
hey It was a very cold fall. thanks,NONE,NONE
Nothing beats a big glass of beer in summer. would you reduce all the television for me,DECREASE,TV
bro start the air conditioner please What kind of music do you like to listen to?,ENABLE,AC
would you decrease aircon,DECREASE,AC
alright The jar of candles was ready on the table. right now,NONE,NONE
yo make it colder thanks Your house is beautiful.,DECREASE,AC
"ok She left her umbrella at her dates house, and because the date was so bad, couldnt return to get it. thanks",NONE,NONE
could you enable all the ac please,ENABLE,AC
alright It took quite a while. right now,NONE,NONE
alright We would move to a nicer house if we had more money. please,NONE,NONE
alright enable air fan now,ENABLE,FAN
yo I like veggies too. please,NONE,NONE
There is nothing more that I need to hear. would you power on my audio right now,ENABLE,MUSIC
He gets up early every day. bro down uh screen for me,DECREASE,TV
please down the ceiling light thanks Were over the hill now! he called over his shoulder.,DECREASE,LIGHTS
hey down the uh playlist now,DECREASE,MUSIC
It would be quite impossible to enumerate all the things in existence. ok power on the cooler,ENABLE,AC
alright There is nothing more that I need to hear. for me,NONE,NONE
would you raise my speaker for me Being the last male on my dads side of the family has its perks.,INCREASE,MUSIC
please Could you tell me what time it is? now,NONE,NONE
would you raise air fan please Apple picking is not in season.,INCREASE,FAN
Wiggle your fingers! would you lower my ceiling fan right now,DECREASE,FAN
hey turn on my screen Who do they believe you are?,ENABLE,TV
can you English Speaking Courses are the hardest ones. thanks,NONE,NONE
would you enable all the cooler now Its easier to clean with disposable dishes.,ENABLE,AC
"Are you really going to ignore me, after everything that happened yesterday? please reduce speaker now",DECREASE,MUSIC
power on my like playlist thanks,ENABLE,MUSIC
bro He never calls this late at night.,NONE,NONE
Here is David with his guitar. um ok reduce the playlist now,DECREASE,MUSIC
Being fashionable is easy. hey switch on my smart tv for me,ENABLE,TV
hey reduce television right now,DECREASE,TV
please She mixed up the recipes and accidentally made a beef parfait. please,NONE,NONE
can you on my smart tv thanks,ENABLE,TV
"would like you start the playlist now In Guam, she laid in the sun and ate mangoes all day.",ENABLE,MUSIC
increase the ceiling like light,INCREASE,LIGHTS
ok switch uh on all the spotify thanks,ENABLE,MUSIC
can you how do uh i open the door thanks,NONE,NONE
yo I only like certain brands of clothes.,NONE,NONE
bro I really need to lose some weight. now,NONE,NONE
"please power up the lighting thanks When she saw Walmart had rotisserie chickens, she thought, this is a miracle.",ENABLE,LIGHTS
alright I cant swim after I drink milk. for me,NONE,NONE
ok No woman would buy that. thanks,NONE,NONE
please Kens uncle has a chicken farm. for me,NONE,NONE
can you turn up my um music thanks,INCREASE,MUSIC
It would be quite impossible to enumerate all the things in existence. can you shut down television right now,DISABLE,TV
Are you going to have a blue birthday cake for your next birthday? please turn up room light now,INCREASE,LIGHTS
could you lower my uh bulb,DECREASE,LIGHTS
hey start the playlist right now,ENABLE,MUSIC
stop all the ventilator thanks,DISABLE,FAN
yo on the bedside lamp for me,ENABLE,LIGHTS
alright Its easier to clean with disposable dishes. now,NONE,NONE
Blood is thicker than water. thanks,NONE,NONE
please turn up the like light thanks,INCREASE,LIGHTS
hey They painted the coffee shop ceiling black. for me,NONE,NONE
could you She started wondering if he was cheating on her when she saw the receipt for an expensive jewelry purchase. please,NONE,NONE
can you Wheres the nearest store? for me,NONE,NONE
would you switch on all the audio right now There are so many things to consider.,ENABLE,MUSIC
"can you down all like the air conditioning She bought the green eyeshadow spontaneously, then regretted the purchase.",DECREASE,AC
bro There used to be a big cherry tree behind my house. now,NONE,NONE
please what is the score for me,NONE,NONE
can you No woman would buy that. right now,NONE,NONE
can you how do i play music now,NONE,NONE
would you power down the fan for me She really wanted to go out to a diner and eat some greasy toast and eggs for breakfast.,DISABLE,FAN
can you turn on the sound system right now,ENABLE,MUSIC
She raised her hand to ask a question. can you turn off like speaker please,DISABLE,MUSIC
Thats the biggest grasshopper Ive ever seen. like yo disable air conditioner thanks,DISABLE,AC
bro power down my tv The bully at school was mean to everyone except me.,DISABLE,TV
bro off all uh the lights right now,DISABLE,LIGHTS
please power up the ceiling fan please Tom stepped off the bus with a smile on his face.,ENABLE,FAN
could you I like veggies too. thanks,NONE,NONE
please Her great-great-great grandfather was an outlaw in the Old West. please,NONE,NONE
yo cool the room right now Thats a wrap for me.,DECREASE,AC
hey turn off the like hvac right now,DISABLE,AC
yo Thats the biggest grasshopper Ive ever seen. thanks,NONE,NONE
please turn down the lights now Toms house is at least twice as big as mine.,DECREASE,LIGHTS
alright can you tell a joke now,NONE,NONE
please power up television now,ENABLE,TV
"bro He took a thirty-minute shower, and by the time he stepped out, his fingers were as wrinkled as prunes. please",NONE,NONE
hey turn up uh all the ceiling fan please,INCREASE,FAN
could you tell me a like score thanks,NONE,NONE
please switch off the aircon right like now,DISABLE,AC
bro make higher my ac for me Do you recognize this woman?,INCREASE,AC
"hey turn down all the light for me She didnt drink, but she didnt want people to realize that, so she ordered a ginger ale at the bar.",DECREASE,LIGHTS
can you power up all the playlist right now It took quite a while.,ENABLE,MUSIC
"He had a sore throat, so I gave him my bottle of water. alright im cold please",INCREASE,AC
would you He won the race through his determination and focus. please,NONE,NONE
alright You had me worried for a moment. now,NONE,NONE
Tulips grow every year. like can you i am cold right now,INCREASE,AC
can you increase the light thanks You can make ice cream.,INCREASE,LIGHTS
What kind of music do you like to listen to? yo stop all the air conditioner thanks,DISABLE,AC
can you What do you like to do with other people? please,NONE,NONE
bro He has a nice sum of money put away. please,NONE,NONE
alright down all the ceiling light right now She had to start saving in October so she could afford to buy Christmas presents for all her family and friends.,DECREASE,LIGHTS
please decrease aircon thanks Tom cant forget the time he and Mary had their first argument.,DECREASE,AC
ok shut like down all the room light please,DISABLE,LIGHTS
can like you up all the ceiling light now Has she texted you back yet?,INCREASE,LIGHTS
"If you dont shut up, I will turn this car around. please turn like up the ceiling fan please",INCREASE,FAN
bro switch off my television thanks,DISABLE,TV
Its much bigger than I thought it would be. bro on audio for me,ENABLE,MUSIC
ok He is capable of the crime. for me,NONE,NONE
There is a big stack of mail on the table. please,NONE,NONE
would you down all the smart tv like for me,DECREASE,TV
You have to take the good with the bad. ok make like lower the air conditioning please,DECREASE,AC
alright Well put you on the list. for me,NONE,NONE
"He took a thirty-minute shower, and by the time he stepped out, his fingers were as wrinkled as prunes. please shut down smart tv",DISABLE,TV
can you how do i cook dinner for me,NONE,NONE
ok up uh my aircon thanks He wanted to wear lipstick but the lipstick was expired.,INCREASE,AC
could you up my um bulb please,INCREASE,LIGHTS
alright i want to run like for me,NONE,NONE
ok disable my air conditioning for me Money doesnt grow on trees.,DISABLE,AC
hey power off the cooler,DISABLE,AC
hey It was a very cold fall. please,NONE,NONE
please do you know how to dance,NONE,NONE
turn off my uh music Heres my big brother. Doesnt he look good?,DISABLE,MUSIC
This big sofa is really not suitable for a small room. can you power on all the audio,ENABLE,MUSIC
ok power off all the lights thanks,DISABLE,LIGHTS
lower my music for me,DECREASE,MUSIC
up the tv right now She started drinking again because she felt so awkward at social gatherings.,INCREASE,TV
bro raise the ac right now,INCREASE,AC
uh alright power on all the light thanks,ENABLE,LIGHTS
can you power off television,DISABLE,TV
He read the report. hey activate my ac please,ENABLE,AC
hey what is the score please,NONE,NONE
would you Is there a big market for this kind of thing these days? now,NONE,NONE
Tom stepped off the bus with a smile on his face. raise um my aircon,INCREASE,AC
bro tell me um a food thanks,NONE,NONE
alright There are so many things to consider. right now,NONE,NONE
please he has skipped school on many occasions.,NONE,NONE
She went to the pier. could you make lower my tv for me,DECREASE,TV
yo how do um i cook dinner thanks,NONE,NONE
bro You did right in me by telling the truth. now,NONE,NONE
can you off fan for me This is too hefty to easily carry.,DISABLE,FAN
could you Your stance tells me. please,NONE,NONE
ok up sound system please,INCREASE,MUSIC
What kind of music do you like to listen to? please power down all the bulb for me,DISABLE,LIGHTS
please turn down the tv please,DECREASE,TV
can you make higher all the screen uh thanks,INCREASE,TV
"Happy Birthday to my 152 year old lover, Canada. can you make like it colder now",DECREASE,AC
It was a very cold fall. bro power up my bulb thanks,ENABLE,LIGHTS
There was a big fire in my neighborhood. ok im hot right now,DECREASE,AC
bro lower the ac right now,DECREASE,AC
alright turn down my bulb right now The security is the safest around.,DECREASE,LIGHTS
could you She was in Australia when the COVID-lockdown started. for me,NONE,NONE
Thats the biggest grasshopper Ive ever seen. now,NONE,NONE
"Are you really going to ignore me, after everything that happened yesterday? please reduce playlist for me",DECREASE,MUSIC
Its easier to clean with disposable dishes. uh yo power on the playlist,ENABLE,MUSIC
Being the last male on my dads side of the family has its perks. would you make higher bedside lamp right now,INCREASE,LIGHTS
can you switch off the hvac right now I spread the map on the table.,DISABLE,AC
ok shut down the television please This weekend is going to be the best weekend ever.,DISABLE,TV
Give me the big knife to cut the bread. would you stop the speaker right now,DISABLE,MUSIC
She had a hard time guessing what women were nannies and which ones were mothers themselves. bro make higher all the audio now,INCREASE,MUSIC
can you Tom forgot his shopping list and only got half of what he wanted to. for me,NONE,NONE
"please She didnt drink, but she didnt want people to realize that, so she ordered a ginger ale at the bar. now",NONE,NONE
alright its too bright A yardstick is 3 feet long.,DECREASE,LIGHTS
please switch on um my television,ENABLE,TV
um please its too cold,INCREASE,AC
hey power off cooler,DISABLE,AC
bro He gets up early every day. for me,NONE,NONE
please The tall girl tied her tennis shoes and went outside. right now,NONE,NONE
can you Could you tell me what time it is?,NONE,NONE
could you She started wondering if he was cheating on her when she saw the receipt for an expensive jewelry purchase. right now,NONE,NONE
yo He was innocent of the crime. for me,NONE,NONE
hey He was such a beautiful man she reconsidered her current relationship.,NONE,NONE
hey its too like dim,INCREASE,LIGHTS
hey She wished she could speak Italian. thanks,NONE,NONE
yo boost all the tv right um now Tom picked up his glass and took a big sip of wine.,INCREASE,TV
yo I wouldnt bet on going to the fair today. for me,NONE,NONE
You guys like meat. would you down room light,DECREASE,LIGHTS
can you Tom stepped off the bus with a smile on his face. thanks,NONE,NONE
bro power off the ceiling fan now I spread the map on the table.,DISABLE,FAN
A red tie will match that suit. thanks,NONE,NONE
He read the report. could you shut down all the room light,DISABLE,LIGHTS
can you I entered Toms name on the list of candidates. thanks,NONE,NONE
"She bought the green eyeshadow spontaneously, then regretted the purchase. uh alright disable all the tv right now",DISABLE,TV
please Wiggle your fingers!,NONE,NONE
I can see you. make lower all the audio for like me,DECREASE,MUSIC
You can never turn the clock back. yo off my smart tv thanks,DISABLE,TV
ok power on like ceiling light now,ENABLE,LIGHTS
hey up the bedside lamp thanks This room is just about big enough.,INCREASE,LIGHTS
yo Well put you on the list. now,NONE,NONE
would you This weekend is going to be the best weekend ever. right now,NONE,NONE
"alright reduce all the screen now She ate a sandwich for lunch which contained turkey, cheddar cheese, and slices of strawberries.",DECREASE,TV
please start all the music uh now,ENABLE,MUSIC
can you turn down all the screen now,DECREASE,TV
please can you open uh the door thanks,NONE,NONE
power off all the lights right now The plant was fake but looked very real.,DISABLE,LIGHTS
What do you like to do with other people? ok turn off the smart tv thanks,DISABLE,TV
power down all the lights for me It was a tough time.,DISABLE,LIGHTS
Shape up or ship out! could you make lower air fan right now,DECREASE,FAN
increase the fan,INCREASE,FAN
could you I only like certain brands of clothes.,NONE,NONE
yo start tv,ENABLE,TV
hey off all um the smart tv thanks,DISABLE,TV
hey idk what im doing,NONE,NONE
can you I have a crush on Albert. thanks,NONE,NONE
"bro power off screen for me She liked Dune, but it didnt pass the Bechdel Test.",DISABLE,TV
yo Shes drop-dead gorgeous. now,NONE,NONE
please You have to take the good with the bad. right now,NONE,NONE
It was a tough time. make higher all the lamp right now,INCREASE,LIGHTS
could you how do i run for me,NONE,NONE
yo i uh am freezing thanks That is fake news.,INCREASE,AC
You can never turn the clock back. turn up lamp,INCREASE,LIGHTS
ok Whos calling on the phone this late at night? for me,NONE,NONE
She went to sleep after 12. thanks,NONE,NONE
bro power up like screen,ENABLE,TV
I hate cats even more than I hate dogs. for me,NONE,NONE
can you power on all like the lamp please,ENABLE,LIGHTS
please its too dark,INCREASE,LIGHTS
alright um switch on fan for me,ENABLE,FAN
would you reduce bedside lamp right now,DECREASE,LIGHTS
please shut down air conditioner,DISABLE,AC
hey like start the lamp,ENABLE,LIGHTS
alright stop my ceiling fan please I wish I had met my uncle yesterday like I was supposed to.,DISABLE,FAN
alright power off my television thanks,DISABLE,TV
Im going to crash at your place. power on sound uh system please,ENABLE,MUSIC
please like disable the bedside lamp right now,DISABLE,LIGHTS
Tom stepped off the bus with a smile on his face. hey make higher the music,INCREASE,MUSIC
im hungry can you turn up all the television now,INCREASE,TV
would you idk what im doing for me,NONE,NONE
ok We would move to a nicer house if we had more money. for me,NONE,NONE
Robert tends to talk big. hey shut down screen,DISABLE,TV
"She wished she had the budget to buy take-out, because she really wanted Thai food. alright its too bright for me",DECREASE,LIGHTS
could you reduce the audio please We have a juice bar.,DECREASE,MUSIC
please power down um light now I want you to remember that.,DISABLE,LIGHTS
make higher lamp now,INCREASE,LIGHTS
"ok switch on lighting like for me His voice was pitchy and weak, partially because he was so nervous.",ENABLE,LIGHTS
He wanted to wear lipstick but the lipstick was expired. can you up my speaker,INCREASE,MUSIC
"Her mom told her to calm down, but she couldnt relax. alright turn off the smart tv",DISABLE,TV
can you power down my television now,DISABLE,TV
ok like lower the aircon I wanted to do well in the interview.,DECREASE,AC
It took quite a while. ok reduce my lighting,DECREASE,LIGHTS
please i want to run for me,NONE,NONE
ok A red tie will match that suit. please,NONE,NONE
would you what is the temperature outside for me,NONE,NONE
yo turn up all the sound system please,INCREASE,MUSIC
alright He has made a big improvement in tennis. please,NONE,NONE
The baby was so cute but she was crying so loud I had to plug my ears. alright its too cold now,INCREASE,AC
Would you like a drink of my smoothie? raise the playlist,INCREASE,MUSIC
alright How long does it really take to heal from a bullet wound? please,NONE,NONE
yo make higher my air fan please This problem is much bigger than we thought.,INCREASE,FAN
"In Guam, she laid in the sun and ate mangoes all day. ok off my fan for me",DISABLE,FAN
ok I will take you to the movies only if you wait for me outside.,NONE,NONE
please increase the aircon right now Workers will still have to work in order to live and pay their landlords for shelter.,INCREASE,AC
"ok power on my lighting now She bought the green eyeshadow spontaneously, then regretted the purchase.",ENABLE,LIGHTS
bro She liked him until he said he was a Marxist. right now,NONE,NONE
would you up all the air conditioner thanks,INCREASE,AC
bro turn down all the fan,DECREASE,FAN
ok turn down screen please,DECREASE,TV
Toms apartment is way too big for just one man. bro turn down ac now,DECREASE,AC
would you power up um all the spotify now,ENABLE,MUSIC
alright switch uh on air fan,ENABLE,FAN
can you My sister likes to eat cheese on her peanut butter sandwich and pickles on her ice cream. now,NONE,NONE
bro Id like to talk about the benefits of having a pet pig. right now,NONE,NONE
yo Ill see to it. now,NONE,NONE
hey power down television You cant have your cake and eat it too.,DISABLE,TV
alright make higher my television now,INCREASE,TV
turn down my bulb now Whos calling on the phone this late at night?,DECREASE,LIGHTS
ok power off the playlist right now,DISABLE,MUSIC
would you Wheres the nearest store? please,NONE,NONE
would you tell me uh a game now,NONE,NONE
uh please decrease all the cooler,DECREASE,AC
please activate the like sound system for me The bigger boys torment the little ones.,ENABLE,MUSIC
could you We need congressional support.,NONE,NONE
yo The smoke was high in the sky.,NONE,NONE
We saw her duck. activate all the music now,ENABLE,MUSIC
ok make it colder now,DECREASE,AC
ok i want to send um a message now,NONE,NONE
yo up all the air conditioning like thanks I go back to bedroom.,INCREASE,AC
can you make uh lower bulb right now I am about as tall as my father now.,DECREASE,LIGHTS
The sooner I get to bed the better. can you um turn up the cooler please,INCREASE,AC
ok That man is creepy. now,NONE,NONE
would you its too dim,INCREASE,LIGHTS
Nikita is a perfectly respectable businessman. please its um too cold thanks,INCREASE,AC
could you turn off my room light thanks,DISABLE,LIGHTS
ok enable my smart tv right uh now,ENABLE,TV
um can you turn on room light please I need a dollar for the vending machine.,ENABLE,LIGHTS
bro off cooler,DISABLE,AC
"bro activate ceiling light now People dont realize how often you can fail as a writer, even after you get a good job or get a book deal.",ENABLE,LIGHTS
ok can you dance thanks,NONE,NONE
The security is the safest around. could you down ventilator right now,DECREASE,FAN
ok increase all the air conditioning This room is just about big enough.,INCREASE,AC
can you up all the tv right now,INCREASE,TV
could you power off the lighting like for me,DISABLE,LIGHTS
Your stance tells me. now,NONE,NONE
